Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
Bon Homme Richard             ,"CVA-31      ",24          ,594258      ,A1 118      ,474                 ,1965-04-01,1965-04-30,https://catalog.archives.gov/id/66350792          ,54          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Bon-Homme-Richard-CVA-31-1965-04/Bon-Homme-Richard-CVA-31-1965-04.pdf
Intrepid                      ,"CVS-11      ",24          ,594258      ,A1 118      ,2179                ,1970-07-01,1970-07-31,https://catalog.archives.gov/id/66354020          ,39          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Intrepid-CVS-11-1970-07/Intrepid-CVS-11-1970-07.pdf
Intrepid                      ,"CVS-11      ",24          ,594258      ,A1 118      ,2179                ,1970-01-01,1970-01-31,https://catalog.archives.gov/id/66353724          ,52          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Intrepid-CVS-11-1970-01/Intrepid-CVS-11-1970-01.pdf
Intrepid                      ,"CVS-11      ",24          ,594258      ,A1 118      ,2179                ,1970-05-01,1970-05-31,https://catalog.archives.gov/id/66353925          ,50          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Intrepid-CVS-11-1970-05/Intrepid-CVS-11-1970-05.pdf
Intrepid                      ,"CVS-11      ",24          ,594258      ,A1 118      ,2179                ,1970-03-01,1970-03-31,https://catalog.archives.gov/id/66353827          ,52          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Intrepid-CVS-11-1970-03/Intrepid-CVS-11-1970-03.pdf
Bon Homme Richard             ,"CVA-31      ",24          ,594258      ,A1 118      ,474                 ,1965-07-01,1965-07-31,https://catalog.archives.gov/id/66350848          ,58          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Bon-Homme-Richard-CVA-31-1965-07/Bon-Homme-Richard-CVA-31-1965-07.pdf
Intrepid                      ,"CVS-11      ",24          ,594258      ,A1 118      ,2179                ,1970-12-01,1970-12-31,https://catalog.archives.gov/id/66354207          ,34          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Intrepid-CVS-11-1970-12/Intrepid-CVS-11-1970-12.pdf
Intrepid                      ,"CVS-11      ",24          ,594258      ,A1 118      ,2179                ,1970-08-01,1970-08-31,https://catalog.archives.gov/id/66354061          ,46          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Intrepid-CVS-11-1970-08/Intrepid-CVS-11-1970-08.pdf
Intrepid                      ,"CVS-11      ",24          ,594258      ,A1 118      ,2179                ,1970-10-01,1970-10-31,https://catalog.archives.gov/id/66354158          ,47          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Intrepid-CVS-11-1970-10/Intrepid-CVS-11-1970-10.pdf
Mazama                        ,"AE-9        ",24          ,594258      ,A1 118      ,2770                ,1962-07-01,1962-07-31,https://catalog.archives.gov/id/66358274          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Mazama-AE-9-1962-07/Mazama-AE-9-1962-07.pdf
Mazama                        ,"AE-9        ",24          ,594258      ,A1 118      ,2771                ,1963-04-01,1963-04-30,https://catalog.archives.gov/id/66358882          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Mazama-AE-9-1963-04/Mazama-AE-9-1963-04.pdf
Mazama                        ,"AE-9        ",24          ,594258      ,A1 118      ,2771                ,1963-06-01,1963-06-30,https://catalog.archives.gov/id/66359013          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Mazama-AE-9-1963-06/Mazama-AE-9-1963-06.pdf
Paricutin                     ,"AE-18       ",24          ,594258      ,A1 118      ,3232                ,1962-09-01,1962-09-30,https://catalog.archives.gov/id/66366238          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Paricutin-AE-18-1962-09/Paricutin-AE-18-1962-09.pdf
