Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USS  COLUMBIA                 ,            ,24          ,581208      ,A1 118-A    ,10                  ,1865-04-24,1865-06-15,https://catalog.archives.gov/id/183313212         ,45          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-columbia-010/581208-columbia-010.pdf
USS  LACKAWANNA               ,            ,24          ,581208      ,A1 118-A    ,5                   ,1866-06-08,1869-01-06,https://catalog.archives.gov/id/167185307         ,46          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-lackawanna-005/581208-lackawanna-005.pdf
USS  NARRAGANSETT             ,            ,24          ,581208      ,A1 118-A    ,5                   ,1865-01-01,1865-03-25,https://catalog.archives.gov/id/167219993         ,46          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-005/581208-narragansett-005.pdf
USS Monocacy II               ,            ,24          ,581208      ,A1 118-A    ,vol03of04           ,1915-07-01,1915-12-31,https://catalog.archives.gov/id/148842333         ,48          ,            
USS  HARTFORD                 ,            ,24          ,581208      ,A1 118-A    ,5                   ,1865-07-17,1865-12-31,https://catalog.archives.gov/id/167171494         ,48          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-hartford-005/581208-hartford-005.pdf
USS  TUSCARORA                ,            ,24          ,581208      ,A1 118-A    ,3                   ,1863-03-23,1863-06-07,https://catalog.archives.gov/id/169800450         ,48          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-003/581208-tuscarora-003.pdf
USS  TUSCARORA                ,            ,24          ,581208      ,A1 118-A    ,2                   ,1862-12-22,1863-03-22,https://catalog.archives.gov/id/169800400         ,48          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002.pdf
USS  SAVANNAH                 ,            ,24          ,581208      ,A1 118-A    ,20                  ,1866-01-01,1866-03-31,https://catalog.archives.gov/id/183350851         ,48          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-savannah-020/581208-savannah-020.pdf
USS Jamestown                 ,            ,24          ,581208      ,A1 118-A    ,Volume 26 of 67     ,1868-07-01,1868-08-31,https://catalog.archives.gov/id/7284453           ,49          ,            
USS Constitution              ,            ,24          ,581208      ,A1 118-A    ,12                  ,1843-02-01,1843-11-30,https://catalog.archives.gov/id/148749667         ,49          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2017-06/Uss_Constitution_02151843-11091843/Uss_Constitution_02151843-11091843.pdf
